0.218 0.5886	9.64344	2.7	-2.13858
0.219 0.5913	9.64129	2.7	-2.14839
0.22 0.594	9.63914	2.7	-2.1582
0.221 0.5967	9.63698	2.7	-2.16801
0.222 0.5994	9.63481	2.7	-2.17782
0.223 0.6021	9.63262	2.7	-2.18763
0.224 0.6048	9.63043	2.7	-2.19744
0.225 0.6075	9.62823	2.7	-2.20725
0.226 0.6102	9.62602	2.7	-2.21706
0.227 0.6129	9.62379	2.7	-2.22687
0.228 0.6156	9.62156	2.7	-2.23668
0.229 0.6183	9.61932	2.7	-2.24649
0.23 0.621	9.61707	2.7	-2.2563
0.231 0.6237	9.61481	2.7	-2.26611
0.232 0.6264	9.61254	2.7	-2.27592
0.233 0.6291	9.61026	2.7	-2.28573
0.234 0.6318	9.60797	2.7	-2.29554
0.235 0.6345	9.60566	2.7	-2.30535
0.236 0.6372	9.60335	2.7	-2.31516
0.237 0.6399	9.60103	2.7	-2.32497
0.238 0.6426	9.5987	2.7	-2.33478
0.239 0.6453	9.59636	2.7	-2.34459
0.24 0.648	9.59402	2.7	-2.3544
0.241 0.6507	9.59166	2.7	-2.36421
0.242 0.6534	9.58929	2.7	-2.37402
0.243 0.6561	9.58691	2.7	-2.38383
0.244 0.6588	9.58452	2.7	-2.39364
0.245 0.6615	9.58212	2.7	-2.40345
0.246 0.6642	9.57971	2.7	-2.41326
0.247 0.6669	9.57729	2.7	-2.42307
0.248 0.6696	9.57487	2.7	-2.43288
0.249 0.6723	9.57243	2.7	-2.44269
0.25 0.675	9.56998	2.7	-2.4525
0.251 0.6777	9.56752	2.7	-2.46231
0.252 0.6804	9.56506	2.7	-2.47212
0.253 0.6831	9.56258	2.7	-2.48193
0.254 0.6858	9.56009	2.7	-2.49174
0.255 0.6885	9.5576	2.7	-2.50155
0.256 0.6912	9.55509	2.7	-2.51136
0.257 0.6939	9.55257	2.7	-2.52117
0.258 0.6966	9.55005	2.7	-2.53098
0.259 0.6993	9.54751	2.7	-2.54079
0.26 0.702	9.54497	2.7	-2.5506
0.261 0.7047	9.54241	2.7	-2.56041
0.262 0.7074	9.53984	2.7	-2.57022
0.263 0.7101	9.53727	2.7	-2.58003
0.264 0.7128	9.53468	2.7	-2.58984
0.265 0.7155	9.53209	2.7	-2.59965
0.266 0.7182	9.52949	2.7	-2.60946
0.267 0.7209	9.52687	2.7	-2.61927
0.268 0.7236	9.52425	2.7	-2.62908
0.269 0.7263	9.52161	2.7	-2.63889
0.27 0.729	9.51897	2.7	-2.6487
0.271 0.7317	9.51632	2.7	-2.65851
0.272 0.7344	9.51365	2.7	-2.66832
0.273 0.7371	9.51098	2.7	-2.67813
0.274 0.7398	9.5083	2.7	-2.68794
0.275 0.7425	9.5056	2.7	-2.69775
0.276 0.7452	9.5029	2.7	-2.70756
0.277 0.7479	9.50019	2.7	-2.71737
0.278 0.7506	9.49747	2.7	-2.72718
0.279 0.7533	9.49473	2.7	-2.73699
